name,region,sub-region
Algeria,Africa,Northern Africa
Angola,Africa,Sub-Saharan Africa
Benin,Africa,Sub-Saharan Africa
Botswana,Africa,Sub-Saharan Africa
British Indian Ocean Territory,Africa,Sub-Saharan Africa
Burkina Faso,Africa,Sub-Saharan Africa
Burundi,Africa,Sub-Saharan Africa
Cabo Verde,Africa,Sub-Saharan Africa
Cameroon,Africa,Sub-Saharan Africa
Central African Republic,Africa,Sub-Saharan Africa
Chad,Africa,Sub-Saharan Africa
Comoros,Africa,Sub-Saharan Africa
Congo,Africa,Sub-Saharan Africa
Congo (Democratic Republic of the),Africa,Sub-Saharan Africa
Côte d'Ivoire,Africa,Sub-Saharan Africa
Djibouti,Africa,Sub-Saharan Africa
Egypt,Africa,Northern Africa
Equatorial Guinea,Africa,Sub-Saharan Africa
Eritrea,Africa,Sub-Saharan Africa
Eswatini,Africa,Sub-Saharan Africa
Ethiopia,Africa,Sub-Saharan Africa
French Southern Territories,Africa,Sub-Saharan Africa
Gabon,Africa,Sub-Saharan Africa
Gambia,Africa,Sub-Saharan Africa
Ghana,Africa,Sub-Saharan Africa
Guinea,Africa,Sub-Saharan Africa
Guinea-Bissau,Africa,Sub-Saharan Africa
Kenya,Africa,Sub-Saharan Africa
Lesotho,Africa,Sub-Saharan Africa
Liberia,Africa,Sub-Saharan Africa
Libya,Africa,Northern Africa
Madagascar,Africa,Sub-Saharan Africa
Malawi,Africa,Sub-Saharan Africa
Mali,Africa,Sub-Saharan Africa
Mauritania,Africa,Sub-Saharan Africa
Mauritius,Africa,Sub-Saharan Africa
Mayotte,Africa,Sub-Saharan Africa
Morocco,Africa,Northern Africa
Mozambique,Africa,Sub-Saharan Africa
Namibia,Africa,Sub-Saharan Africa
Niger,Africa,Sub-Saharan Africa
Nigeria,Africa,Sub-Saharan Africa
Réunion,Africa,Sub-Saharan Africa
Rwanda,Africa,Sub-Saharan Africa
"Saint Helena, Ascension and Tristan da Cunha",Africa,Sub-Saharan Africa
Sao Tome and Principe,Africa,Sub-Saharan Africa
Senegal,Africa,Sub-Saharan Africa
Seychelles,Africa,Sub-Saharan Africa
Sierra Leone,Africa,Sub-Saharan Africa
Somalia,Africa,Sub-Saharan Africa
South Africa,Africa,Sub-Saharan Africa
South Sudan,Africa,Sub-Saharan Africa
Sudan,Africa,Northern Africa
"Tanzania, United Republic of",Africa,Sub-Saharan Africa
Togo,Africa,Sub-Saharan Africa
Tunisia,Africa,Northern Africa
Uganda,Africa,Sub-Saharan Africa
Western Sahara,Africa,Northern Africa
Zambia,Africa,Sub-Saharan Africa
Zimbabwe,Africa,Sub-Saharan Africa
