name,region,sub-region
Anguilla,Americas,Latin America and the Caribbean
Antigua and Barbuda,Americas,Latin America and the Caribbean
Argentina,Americas,Latin America and the Caribbean
Aruba,Americas,Latin America and the Caribbean
Bahamas,Americas,Latin America and the Caribbean
Barbados,Americas,Latin America and the Caribbean
Belize,Americas,Latin America and the Caribbean
Bermuda,Americas,Northern America
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean
"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean
Bouvet Island,Americas,Latin America and the Caribbean
Brazil,Americas,Latin America and the Caribbean
Canada,Americas,Northern America
Cayman Islands,Americas,Latin America and the Caribbean
Chile,Americas,Latin America and the Caribbean
Colombia,Americas,Latin America and the Caribbean
Costa Rica,Americas,Latin America and the Caribbean
Cuba,Americas,Latin America and the Caribbean
Curaçao,Americas,Latin America and the Caribbean
Dominica,Americas,Latin America and the Caribbean
Dominican Republic,Americas,Latin America and the Caribbean
Ecuador,Americas,Latin America and the Caribbean
El Salvador,Americas,Latin America and the Caribbean
Falkland Islands (Malvinas),Americas,Latin America and the Caribbean
French Guiana,Americas,Latin America and the Caribbean
Greenland,Americas,Northern America
Grenada,Americas,Latin America and the Caribbean
Guadeloupe,Americas,Latin America and the Caribbean
Guatemala,Americas,Latin America and the Caribbean
Guyana,Americas,Latin America and the Caribbean
Haiti,Americas,Latin America and the Caribbean
Honduras,Americas,Latin America and the Caribbean
Jamaica,Americas,Latin America and the Caribbean
Martinique,Americas,Latin America and the Caribbean
Mexico,Americas,Latin America and the Caribbean
Montserrat,Americas,Latin America and the Caribbean
Nicaragua,Americas,Latin America and the Caribbean
Panama,Americas,Latin America and the Caribbean
Paraguay,Americas,Latin America and the Caribbean
Peru,Americas,Latin America and the Caribbean
Puerto Rico,Americas,Latin America and the Caribbean
Saint Barthélemy,Americas,Latin America and the Caribbean
Saint Kitts and Nevis,Americas,Latin America and the Caribbean
Saint Lucia,Americas,Latin America and the Caribbean
Saint Martin (French part),Americas,Latin America and the Caribbean
Saint Pierre and Miquelon,Americas,Northern America
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean
Sint Maarten (Dutch part),Americas,Latin America and the Caribbean
South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean
Suriname,Americas,Latin America and the Caribbean
Trinidad and Tobago,Americas,Latin America and the Caribbean
Turks and Caicos Islands,Americas,Latin America and the Caribbean
United States of America,Americas,Northern America
Uruguay,Americas,Latin America and the Caribbean
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean
Virgin Islands (British),Americas,Latin America and the Caribbean
Virgin Islands (U.S.),Americas,Latin America and the Caribbean
