name,region,sub-region
Afghanistan,Asia,Southern Asia
Armenia,Asia,Western Asia
Azerbaijan,Asia,Western Asia
Bahrain,Asia,Western Asia
Bangladesh,Asia,Southern Asia
Bhutan,Asia,Southern Asia
Brunei Darussalam,Asia,South-eastern Asia
Cambodia,Asia,South-eastern Asia
China,Asia,Eastern Asia
Cyprus,Asia,Western Asia
Georgia,Asia,Western Asia
Hong Kong,Asia,Eastern Asia
India,Asia,Southern Asia
Indonesia,Asia,South-eastern Asia
Iran (Islamic Republic of),Asia,Southern Asia
Iraq,Asia,Western Asia
Israel,Asia,Western Asia
Japan,Asia,Eastern Asia
Jordan,Asia,Western Asia
Kazakhstan,Asia,Central Asia
Korea (Democratic People's Republic of),Asia,Eastern Asia
Korea (Republic of),Asia,Eastern Asia
Kuwait,Asia,Western Asia
Kyrgyzstan,Asia,Central Asia
Lao People's Democratic Republic,Asia,South-eastern Asia
Lebanon,Asia,Western Asia
Macao,Asia,Eastern Asia
Malaysia,Asia,South-eastern Asia
Maldives,Asia,Southern Asia
Mongolia,Asia,Eastern Asia
Myanmar,Asia,South-eastern Asia
Nepal,Asia,Southern Asia
Oman,Asia,Western Asia
Pakistan,Asia,Southern Asia
"Palestine, State of",Asia,Western Asia
Philippines,Asia,South-eastern Asia
Qatar,Asia,Western Asia
Saudi Arabia,Asia,Western Asia
Singapore,Asia,South-eastern Asia
Sri Lanka,Asia,Southern Asia
Syrian Arab Republic,Asia,Western Asia
"Taiwan, Province of China",Asia,Eastern Asia
Tajikistan,Asia,Central Asia
Thailand,Asia,South-eastern Asia
Timor-Leste,Asia,South-eastern Asia
Turkey,Asia,Western Asia
Turkmenistan,Asia,Central Asia
United Arab Emirates,Asia,Western Asia
Uzbekistan,Asia,Central Asia
Viet Nam,Asia,South-eastern Asia
Yemen,Asia,Western Asia
