name,region,sub-region
Åland Islands,Europe,Northern Europe
Albania,Europe,Southern Europe
Andorra,Europe,Southern Europe
Austria,Europe,Western Europe
Belarus,Europe,Eastern Europe
Belgium,Europe,Western Europe
Bosnia and Herzegovina,Europe,Southern Europe
Bulgaria,Europe,Eastern Europe
Croatia,Europe,Southern Europe
Czechia,Europe,Eastern Europe
Denmark,Europe,Northern Europe
Estonia,Europe,Northern Europe
Faroe Islands,Europe,Northern Europe
Finland,Europe,Northern Europe
France,Europe,Western Europe
Germany,Europe,Western Europe
Gibraltar,Europe,Southern Europe
Greece,Europe,Southern Europe
Guernsey,Europe,Northern Europe
Holy See,Europe,Southern Europe
Hungary,Europe,Eastern Europe
Iceland,Europe,Northern Europe
Ireland,Europe,Northern Europe
Isle of Man,Europe,Northern Europe
Italy,Europe,Southern Europe
Jersey,Europe,Northern Europe
Latvia,Europe,Northern Europe
Liechtenstein,Europe,Western Europe
Lithuania,Europe,Northern Europe
Luxembourg,Europe,Western Europe
Macedonia (the former Yugoslav Republic of),Europe,Southern Europe
Malta,Europe,Southern Europe
Moldova (Republic of),Europe,Eastern Europe
Monaco,Europe,Western Europe
Montenegro,Europe,Southern Europe
Netherlands,Europe,Western Europe
Norway,Europe,Northern Europe
Poland,Europe,Eastern Europe
Portugal,Europe,Southern Europe
Romania,Europe,Eastern Europe
Russian Federation,Europe,Eastern Europe
San Marino,Europe,Southern Europe
Serbia,Europe,Southern Europe
Slovakia,Europe,Eastern Europe
Slovenia,Europe,Southern Europe
Spain,Europe,Southern Europe
Svalbard and Jan Mayen,Europe,Northern Europe
Sweden,Europe,Northern Europe
Switzerland,Europe,Western Europe
Ukraine,Europe,Eastern Europe
United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
