name,region,sub-region
American Samoa,Oceania,Polynesia
Australia,Oceania,Australia and New Zealand
Christmas Island,Oceania,Australia and New Zealand
Cocos (Keeling) Islands,Oceania,Australia and New Zealand
Cook Islands,Oceania,Polynesia
Fiji,Oceania,Melanesia
French Polynesia,Oceania,Polynesia
Guam,Oceania,Micronesia
Heard Island and McDonald Islands,Oceania,Australia and New Zealand
Kiribati,Oceania,Micronesia
Marshall Islands,Oceania,Micronesia
Micronesia (Federated States of),Oceania,Micronesia
Nauru,Oceania,Micronesia
New Caledonia,Oceania,Melanesia
New Zealand,Oceania,Australia and New Zealand
Niue,Oceania,Polynesia
Norfolk Island,Oceania,Australia and New Zealand
Northern Mariana Islands,Oceania,Micronesia
Palau,Oceania,Micronesia
Papua New Guinea,Oceania,Melanesia
Pitcairn,Oceania,Polynesia
Samoa,Oceania,Polynesia
Solomon Islands,Oceania,Melanesia
Tokelau,Oceania,Polynesia
Tonga,Oceania,Polynesia
Tuvalu,Oceania,Polynesia
United States Minor Outlying Islands,Oceania,Micronesia
Vanuatu,Oceania,Melanesia
Wallis and Futuna,Oceania,Polynesia
